FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
GA000635	GA000635	-0.03931078	0.1557104	0.05056042	-0.2484293	0.01930253	0.01745989	-0.005512508	0.006537533	-0.8222195	0.02587519
GA000636	GA000636	-0.04278968	0.1461297	0.05393175	-0.258414	0.01434603	-0.01203142	0.01440919	-0.006463651	-0.03298072	-0.02875609
GA000637	GA000637	-0.04469393	0.1545577	0.04497704	-0.2485555	0.01516867	0.0141888	0.002618826	0.002921281	-0.8141117	0.0256556
GA000638	GA000638	-0.04317396	0.1533981	0.05037583	-0.2507428	0.01161477	0.01755356	0.00642288	0.001258161	-0.8107936	0.02401692
GA000639	GA000639	-0.04481332	0.1574959	0.0463369	-0.2488202	0.0206209	0.01560129	0.003711149	0.002991406	-0.8331142	0.02719981
GA000640	GA000640	-0.04323724	0.1460492	0.05141032	-0.2498414	0.01181985	-0.00172416	0.003681668	-0.002136509	-0.01241023	-0.01120964
GA000641	GA000641	-0.04410181	0.1445824	0.05185137	-0.2724097	0.01560589	-0.01490046	0.01876264	-0.003894949	-0.04702359	-0.03680812
GA000642	GA000642	-0.04146287	0.1408106	0.05076995	-0.2587192	0.01245174	-0.01528767	0.008063283	0.001767662	-0.03628898	-0.02310309
GA000814	GA000814	-0.04877161	0.1530989	0.04625458	-0.2230652	0.01086451	0.000253534	0.002510544	-0.003918322	0.02092906	6.25637e-05
GA000931	GA000931	-0.05982972	0.0792717	0.07815769	-0.2548585	-0.01621043	-0.00129712	0.001414662	-0.003646009	0.01617178	0.002132464
GA001074	GA001074	-0.05480585	0.1167143	0.07156671	-0.2685985	-0.005797204	-0.004776059	0.004003167	-0.005011933	0.02556708	-0.00819764
GA001075	GA001075	-0.04461339	0.1155485	0.06348713	-0.2645456	0.006521218	-0.002230755	-0.001995338	0.00126571	0.01803473	-0.007337206
GA001076	GA001076	-0.04640882	0.1100941	0.06767376	-0.2675623	0.0006165494	-0.005823486	0.01131654	0.003115791	0.02086948	-0.009907574
GA001077	GA001077	-0.04777077	0.1086484	0.07363248	-0.2623708	0.008991188	-0.006177796	0.00471493	-0.01109862	0.03060934	-0.01384707
GA001078	GA001078	-0.04692513	0.1150311	0.06658208	-0.2611448	0.01118805	0.001142235	0.007412841	-0.005359658	0.02566409	-0.006459281
GA001079	GA001079	-0.05062463	0.1108197	0.06909642	-0.2721312	-0.003335122	-0.004831942	0.004010342	-0.009847637	0.02050831	-0.01624988
GA001080	GA001080	-0.05369763	0.1166785	0.06888612	-0.2746919	0.003037987	-0.00821984	-0.002183003	0.000634574	0.01929773	-0.01110973
GA001081	GA001081	-0.04683258	0.1119782	0.06462181	-0.2607762	0.0008033582	0.000487832	0.004522211	-0.007210533	0.0224236	-0.00623158
GA001107	GA001107	-0.04414434	0.1396444	0.05319001	-0.2623643	0.003316546	-0.001611775	0.008125874	0.009025102	0.01335053	-0.01657601
GA001108	GA001108	-0.04368063	0.1474545	0.05784175	-0.2553935	0.006526602	0.002491256	0.0007758843	0.01143131	0.02198373	-0.01303601
GA001109	GA001109	-0.04997134	0.1426038	0.05306062	-0.2567123	0.007630584	0.001176186	0.004203912	0.008841475	0.009713381	-0.02259177
GA001110	GA001110	-0.04806476	0.143647	0.05632858	-0.2556968	0.00151638	0.001659618	0.0100786	3.700413e-05	0.01655977	-0.0268024
GA001166	GA001166	-0.04002241	0.160656	0.04862838	-0.226861	0.009606393	-0.001051764	0.007629049	-0.004916191	0.01220104	0.003720487
GA001172	GA001172	-0.0372711	0.1588598	0.04760629	-0.2203017	0.0082281	-2.717462e-06	0.003327684	0.002696631	-0.006069929	-0.005295005
GA001179	GA001179	-0.0450057	0.1292375	0.05456958	-0.2416501	0.0002385477	0.004168142	0.002700834	-0.001254662	0.01152859	-0.003831159
GA001184	GA001184	-0.04203849	0.1488648	0.05812461	-0.2552286	0.01011644	0.007790717	0.006310787	0.008628575	0.01261484	-0.02027014
GA001186	GA001186	-0.04874457	0.1473165	0.05848981	-0.260913	0.004592923	-0.002323173	0.01037939	0.01318643	0.007448238	-0.02140498
GA001187	GA001187	-0.04444877	0.1411462	0.05276253	-0.2618089	0.008811156	-0.002683392	0.002651666	0.005942582	0.01558676	-0.01279839
GA001195	GA001195	-0.04511739	0.1387818	0.05084971	-0.2399032	0.006470676	-0.0003460392	0.01063028	0.007166824	0.01201211	-0.0008835895
GA001197	GA001197	-0.04599875	0.1383234	0.04886258	-0.2326211	-0.001298462	-0.00154837	0.001802913	-0.007662196	0.01710853	-0.006190254
GA001199	GA001199	-0.03798359	0.1373452	0.05226336	-0.2318223	0.007044069	0.001279314	-0.005177495	0.006531842	0.007304569	-0.002022995
GA001205	GA001205	-0.0463791	0.1401524	0.05114734	-0.2396911	0.008659732	0.003068241	-0.001028272	-5.75413e-05	0.01884157	-0.003497992
GA001207	GA001207	-0.0491922	0.1488373	0.05600301	-0.26259	0.006842319	0.00613711	0.003551343	0.01954191	0.01361286	-0.01600229
GA001211	GA001211	-0.04650726	0.1390876	0.05230285	-0.2336473	0.001456354	0.001336993	-0.002727539	0.002967673	0.01864479	0.000873672
GA001214	GA001214	-0.04447159	0.1317752	0.05185113	-0.2467204	0.00888774	-0.008714913	0.002420877	0.007577104	0.02015999	0.0003720964
GA001215	GA001215	-0.04624214	0.1264464	0.05751821	-0.2562718	0.007802197	0.005450889	-0.007404413	-0.005797956	0.01553747	0.002565987
GA001232	GA001232	-0.0475713	0.123716	0.06269409	-0.2626498	0.01163496	0.002658274	0.006302427	-0.005463786	0.008339621	-0.001186293
GA001234	GA001234	-0.03851626	0.1362164	0.05375204	-0.2476143	0.001371333	0.001670095	0.004204521	-0.002537841	0.004757713	0.001241169
GA001244	GA001244	-0.04334625	0.1511892	0.04584978	-0.2290536	0.006961478	0.0002597136	-0.004352858	-0.002378837	0.0003970277	-0.003925495
GA001246	GA001246	-0.04087976	0.1405966	0.05396753	-0.2385959	0.007605827	-0.002916393	-0.0008718171	0.002355578	0.02040677	0.007547428
GA001264	GA001264	-0.04330203	0.1289869	0.05630913	-0.254874	-0.0007750224	-0.003393646	0.002241471	0.001353682	0.009213381	0.0004925199
GA001272	GA001272	-0.04170846	0.1419715	0.05227112	-0.2356595	0.01273663	-0.005250677	-0.006034057	0.005273102	0.01210711	-0.006632186
GA001276	GA001276	-0.04130111	0.1228042	0.05480383	-0.2580794	0.01181644	-0.002788207	0.001042192	0.0019002	0.009281534	-0.01000405
GA001277	GA001277	-0.0455941	0.1248528	0.05847973	-0.2564407	0.009099522	0.006694746	-0.009761284	0.003075234	0.01361251	-0.009327605
GA001282	GA001282	-0.04261066	0.1475079	0.0514717	-0.2417612	0.003474462	-0.002206945	-0.003153935	0.008175879	0.004908274	-0.005925441
GA001284	GA001284	-0.04588278	0.1471207	0.04927833	-0.2336575	0.0115628	-0.0009480442	-0.009536064	-0.002669701	-0.002799467	-0.0004071565
GA001285	GA001285	-0.04105737	0.1445153	0.05085603	-0.2259887	0.01067646	-0.004261886	-0.004243991	0.008082499	0.008341529	-0.01086252
GA001286	GA001286	-0.04078143	0.1553881	0.04670989	-0.2252079	0.01455708	0.00097451	-0.006196316	-0.004774316	0.01225305	0.00284473
GA001287	GA001287	-0.04173764	0.1403515	0.0481225	-0.2381115	0.01679939	-0.0008241748	0.00352558	-0.004740225	0.01242344	-0.009874868
GA001296	GA001296	-0.04510511	0.1596473	0.05020577	-0.2284834	0.009968603	0.0005479116	0.0042633	0.004943832	-0.001773555	-0.0006199321
GA001298	GA001298	-0.03975105	0.1462121	0.05520605	-0.2354374	0.008262607	-0.008966167	-0.002681215	0.01616077	0.007521375	0.0008363407
GA001308	GA001308	-0.04506492	0.1333519	0.05019162	-0.2446196	0.008091163	-0.002764279	-0.001723363	0.01035688	0.00592473	-0.00858983
GA001313	GA001313	-0.04080984	0.1539889	0.04632146	-0.2360355	0.01350969	0.007928136	-0.0005023584	-0.009699933	0.01161672	-0.001294826
GA001319	GA001319	-0.04357441	0.1378619	0.0539482	-0.2515652	0.01107677	-0.004807184	0.001844637	-0.004514483	-0.0003475375	-0.0006007828
GA001326	GA001326	-0.04285885	0.2947514	1.290355e-05	0.09550559	-0.002723581	-0.002873314	0.01267986	-0.01176151	0.008581791	0.003557881
GA001328	GA001328	-0.04255981	0.296502	-0.0005009904	0.08512376	0.004465258	9.992925e-05	-0.0005025737	-0.009103103	6.435672e-05	-0.0002909503
GA001329	GA001329	-0.0500813	0.2928572	-0.0004698332	0.08785556	-0.01313621	0.0125318	0.009430986	-0.001513847	-0.008656502	0.009823508
GA001332	GA001332	-0.0474279	0.2952268	-0.004221795	0.08945131	-0.005883982	-0.004424256	-0.002240457	-0.001501022	-0.009433437	-0.01518982
GA001333	GA001333	-0.04668539	0.3028083	0.004259107	0.09711827	0.001621568	0.005481368	0.001436772	-0.0003566319	0.01346477	-0.009228361
GA001335	GA001335	-0.04260181	0.2961427	-0.005080671	0.0978493	-0.002018372	0.005808848	0.01193443	0.002634689	0.01068095	-0.00281804
GA001336	GA001336	-0.04169364	0.2958307	8.167943e-05	0.08886225	0.004398231	0.004471025	0.0005232502	0.0005788398	0.01768155	0.003751059
GA001340	GA001340	-0.03874949	0.2968729	0.008443188	0.09412183	0.002389655	0.0006732702	0.007597676	-0.0134693	0.01222952	0.01733877
GA001341	GA001341	-0.04591218	0.2957549	0.003165318	0.08805645	0.003264777	0.009451638	-0.003294251	-0.004402608	0.02179369	0.01201051
GA001342	GA001342	-0.04481503	0.2948798	-0.001468833	0.08550558	-0.003780601	0.003072453	0.01387841	-0.003451989	0.0107529	-0.0294365
GA001343	GA001343	-0.04187106	0.2952613	-0.003420883	0.08451043	-0.004355351	-0.0009911838	0.00371128	-0.007717224	-0.001891598	0.009225274
GA001344	GA001344	-0.04550661	0.2970844	-0.003391809	0.08536528	-0.008717084	0.0006931631	0.006130361	-0.006428268	0.009335421	0.01370194
GA001345	GA001345	-0.04366856	0.299548	-0.003224558	0.09288471	-0.001836442	-0.004402185	0.007772564	0.0005546056	0.01263206	0.003632885
GA001346	GA001346	-0.04802024	0.2997045	0.004050852	0.1003768	-0.01250549	-0.003305946	-0.00938171	-0.0007654609	-0.006882062	-0.01898532
GA001348	GA001348	-0.1380751	-0.1120601	0.1524888	0.02511004	-0.1406874	-0.00124448	-0.06601425	-0.003635454	-0.0002448908	0.02405823
GA001349	GA001349	-0.1407	-0.1098704	0.1507942	0.02339639	-0.1368886	-0.0005474358	-0.05494358	-0.01705423	-0.008101405	-0.003184304
GA001350	GA001350	-0.1435023	-0.1200891	0.1529895	0.02500167	-0.1502773	0.00260756	-0.0694648	-0.007445144	0.00820213	-0.02590519
GA001351	GA001351	-0.1406174	-0.1147412	0.1545305	0.01537363	-0.1359058	-0.0008427996	-0.06173874	-0.01209493	0.009071546	-0.01985172
GA001352	GA001352	-0.1428944	-0.1153713	0.1534729	0.02416459	-0.1340966	-0.002996901	-0.02311889	0.0003153646	-0.008565309	-0.002709082
GA001354	GA001354	-0.1335215	-0.1190906	0.1539416	0.0177479	-0.1414056	-0.00626294	-0.05829673	-0.01774399	0.004936525	-0.001159889
GA001355	GA001355	-0.1382572	-0.114725	0.1580254	0.02134661	-0.1377966	0.001713803	-0.05932255	-0.00705814	0.004917826	-0.01260571
GA001356	GA001356	-0.1394564	-0.1141462	0.1448371	0.01764872	-0.1130673	0.003250957	-0.04450484	-0.0150768	0.001689318	0.01320484
GA001357	GA001357	-0.1415678	-0.1199124	0.1490368	0.01409925	-0.1158873	0.006152129	-0.04405367	-0.009275857	0.001693252	-0.005201478
GA001361	GA001361	-0.1414919	-0.1184092	0.1570346	0.01877037	-0.1401925	-0.009638595	-0.05036106	-0.01496478	-0.009075749	-0.009765655
GA001362	GA001362	-0.1405095	-0.1178346	0.1557146	0.01762571	-0.1463403	-0.006854534	-0.05833165	-0.008159801	-0.003077806	-0.01282845
GA001364	GA001364	-0.1408869	-0.1255785	0.1563078	0.02431162	-0.1387384	-0.00064266	-0.0435057	0.001075338	0.004882109	-0.005509075
GA001365	GA001365	-0.1402965	-0.1133859	0.1515717	0.01418125	-0.1270575	0.0001471833	-0.05477496	-0.01644974	0.01001732	-0.01283022
GA001366	GA001366	-0.1419361	-0.1186764	0.1511964	0.01905069	-0.1387145	0.00295719	-0.03758174	-0.01234867	0.01006834	0.000935199
GA001367	GA001367	-0.1404501	-0.1135545	0.1538908	0.01208453	-0.1541966	0.001562981	-0.03513884	-0.009069469	-0.01751527	0.004464741
GA001368	GA001368	-0.1478487	-0.1173565	0.1414024	0.02671505	-0.03060689	-0.005863553	-0.02947366	0.006983952	0.005848127	-0.00389204
GA001369	GA001369	-0.1491698	-0.1210951	0.1561615	0.01271939	-0.1387581	-0.001510927	-0.04244558	0.004614214	-0.006615527	0.009612078
GA001370	GA001370	-0.1408139	-0.1184745	0.1535699	0.02279048	-0.125953	0.003820601	-0.05133895	-0.005706882	0.003208418	-0.009754169
GA001371	GA001371	-0.1346873	-0.1139658	0.1546973	0.01321544	-0.1462011	0.003301583	-0.0487436	-0.007147247	-0.006205542	-0.02602379
GA001372	GA001372	-0.1363363	-0.1088849	0.1476132	0.005790732	-0.113772	-0.004654399	-0.0478251	0.006940979	0.01391851	-1.979032e-05
GA001373	GA001373	-0.1435977	-0.1165325	0.1512242	0.01815387	-0.1124453	0.01107155	-0.0387883	-0.007280096	-0.005153595	-0.002439601
GA001374	GA001374	-0.1358448	-0.112978	0.1520684	0.01008161	-0.1092706	0.0083802	-0.04095585	0.002552154	-0.004502192	-0.008141682
GA001375	GA001375	-0.1391659	-0.1136145	0.150527	0.01532686	-0.1157509	0.0003628793	-0.04635303	-0.007216923	-0.005071493	0.006362814
GA001376	GA001376	-0.143561	-0.1127982	0.1492643	0.009220464	-0.1245451	0.002644933	-0.0475888	-0.004689988	0.01109841	-0.0155122
GA001377	GA001377	-0.1349735	-0.1141591	0.1569603	0.02050352	-0.1155646	-0.003028369	-0.05407366	0.003118222	-0.01520348	-0.0007745542
GA001378	GA001378	-0.143419	-0.113714	0.1502944	0.009467819	-0.1180329	-0.002315034	-0.04134264	-0.005880886	0.0088249	0.006577374
GA001379	GA001379	-0.1386912	-0.1180208	0.1489116	0.01922545	-0.06908896	-0.008149834	-0.02804565	-0.004909118	0.00406191	0.01366307
GA001380	GA001380	-0.1409834	-0.1144169	0.1469165	0.01299621	-0.1215046	-0.003478298	-0.0300807	-0.003294161	-0.008726538	0.002372549
GA001381	GA001381	-0.1419299	-0.1131447	0.1529636	0.008696961	-0.1176742	0.0029667	-0.04371008	-0.01832997	0.0002387931	-0.006796481
GA001382	GA001382	-0.1406717	-0.1067768	0.1491127	0.01177248	-0.1118602	-0.001854426	-0.03138048	-0.01101363	0.003520833	-0.02408306
GA001383	GA001383	-0.1367025	-0.1094175	0.1523057	0.01344182	-0.1138781	3.577999e-05	-0.0406904	-0.01988342	-0.004270637	0.01570461
GA001384	GA001384	-0.1369275	-0.118278	0.1515964	0.02210663	-0.0578703	0.001652962	-0.02395284	-0.004626782	0.003716783	-0.009980183
GA001385	GA001385	-0.1379883	-0.1137247	0.1473949	0.01732384	-0.1150237	0.003121341	-0.042182	0.004457309	-0.006161282	-0.01198059
GA001386	GA001386	-0.1383616	-0.109543	0.1491917	0.01307643	-0.1087664	-0.003602671	-0.05462344	-0.0101795	-0.003697238	-0.01825963
GA001387	GA001387	-0.1425345	-0.112322	0.1465327	0.007252774	-0.1143753	-0.01403263	-0.03220639	0.004458129	-0.005453399	-0.01183744
GA001389	GA001389	-0.1355664	-0.1113176	0.1516122	0.012578	-0.1267613	-0.000803584	-0.03628688	-0.0009090883	-0.01567425	-0.00298872
GA001390	GA001390	-0.1388348	-0.1159668	0.1486512	0.02132086	-0.1115434	-0.003219676	-0.04319575	0.003832159	-0.01337847	0.0035514
GA001391	GA001391	-0.134733	-0.1060789	0.1484613	0.004619398	-0.1154658	-0.0007999195	-0.03635028	-0.003608626	-0.01390753	-0.004312776
GA001392	GA001392	-0.1393743	-0.1149074	0.1529542	0.01493175	-0.1138524	-0.002873541	-0.0366216	-0.005432749	0.005660297	0.02221747
GA001393	GA001393	-0.1415983	-0.1150791	0.1509353	0.009147421	-0.1078079	0.006323819	-0.03773172	-0.005007763	0.006564337	0.005297632
GA001394	GA001394	-0.1409229	-0.1129812	0.1531261	0.02198313	-0.1278675	0.006597158	-0.04182624	-0.008582583	-0.01561062	-0.0227907
GA001395	GA001395	-0.1417542	-0.1126189	0.1441753	0.01356658	-0.1053495	-0.001172681	-0.02762657	-0.009426743	-0.001087037	-0.002448606
GA001396	GA001396	-0.1362772	-0.1121689	0.150569	0.007451989	-0.1106763	0.006751236	-0.04090044	-0.0001296433	-0.009228123	-0.01110389
GA001397	GA001397	-0.04393509	0.1588595	0.05120768	-0.249148	0.0003500055	0.01618541	-0.007086954	0.00584382	0.01107655	0.001425199
GA001398	GA001398	-0.04144958	0.1519547	0.05252912	-0.2421066	0.006079866	0.002933014	-0.01246604	0.004538222	0.005826956	-0.00477297
