FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	
GA000435	GA000435	0.1031759	0.1425909	0.09997472	-0.001832329	-0.1819098	-0.3814977	-0.03798946	-0.003855403	-0.01139841	-0.02139645	
GA000436	GA000436	0.1071531	0.1382127	0.102414	0.002239481	-0.1921073	-0.435381	-0.03732107	-0.005489146	-0.01627387	-0.02685071	
GA000437	GA000437	0.1130004	0.1406217	0.1033101	0.006825567	-0.1787685	-0.3950625	-0.04061827	-0.01173013	-0.01887776	-0.01851479	
GA000438	GA000438	0.1077913	0.1382445	0.1057529	0.0002730208	-0.1914691	-0.4410746	-0.04050895	-0.006997212	-0.01620159	-0.02703297	
GA000439	GA000439	0.1042139	0.1399369	0.10266	-0.00136591	-0.178964	-0.3685937	-0.02749052	-0.01047248	-0.01034598	-0.01794959	
GA000440	GA000440	0.1057316	0.1397761	0.1070792	0.0009939287	-0.1785724	-0.3575309	-0.02901826	-0.002636557	-0.02144247	-0.01074949	
GA000441	GA000441	0.1050204	0.1407585	0.1027939	0.006935815	-0.1699981	-0.2896895	-0.03920016	0.00269726	0.009262825	-0.0002526518	
GA000442	GA000442	0.1099834	0.1279007	0.09929809	0.003445592	-0.1611224	-0.2448575	-0.02501026	0.0006230965	0.001109569	0.0006354211	
GA000443	GA000443	0.1128239	0.1431439	0.1021389	0.0131276	-0.1692263	-0.2649745	-0.03058597	0.004730281	0.005174994	-0.003239005	
GA000444	GA000444	0.1058725	0.1362142	0.1048787	0.003999091	-0.1673568	-0.2728171	-0.02857057	0.0009249291	0.01276426	-0.0001702008	
GA000445	GA000445	0.1019494	0.1354189	0.1103488	-0.001507386	-0.1728197	-0.290943	-0.02093218	-0.0007182252	0.01327798	-0.001656609	
GA000446	GA000446	0.1072672	0.140035	0.1052758	0.005484474	-0.1639638	-0.2917232	-0.03113332	-0.002605541	0.00867703	-0.004440534	
GA000447	GA000447	0.09818118	0.1383036	0.1083608	0.002976723	-0.1646534	-0.2872546	-0.02571119	-0.007386284	0.002322413	0.003588346	
GA000448	GA000448	0.1026067	0.1357137	0.1048631	0.0007671682	-0.1648406	-0.2736719	-0.02564687	0.005950142	0.01163958	-0.004460474	
GA000449	GA000449	0.1071042	0.1403091	0.1041576	0.005870822	-0.1640198	-0.2746784	-0.0283517	0.0002979147	0.006218865	-0.005794321	
GA000450	GA000450	0.1073693	0.1328752	0.1096699	0.002797581	-0.1580702	-0.2663942	-0.01926729	0.002173923	0.004677909	-0.00997334	
GA000451	GA000451	0.1030449	0.138899	0.1065555	0.005888099	-0.1658779	-0.2630668	-0.02305321	0.005408532	0.01525504	0.002786262	
GA000452	GA000452	0.1042061	0.1418073	0.1063011	0.01553997	-0.1671028	-0.2755655	-0.02927379	-8.922717e-05	0.001261835	-0.01332212	
GA000453	GA000453	0.1042655	0.1402502	0.1058562	0.001661539	-0.1663686	-0.2620898	-0.03414997	0.0100389	-0.0007235273	-0.006209757	
GA000454	GA000454	0.1043619	0.1386266	0.1061759	0.008356077	-0.1652525	-0.2729366	-0.019033	-0.002402382	0.01206507	-0.002985154	
GA000455	GA000455	0.1053221	0.1412708	0.1026411	0.007633981	-0.1659084	-0.2692678	-0.02633338	0.005660782	-0.001454918	-0.01258549	
GA000550	GA000550	0.1055559	0.1294538	0.1028847	0.008321537	-0.09661169	-0.07265769	-0.01222666	0.01275703	0.006763218	-0.002469082	
GA000554	GA000554	0.1027333	0.12791	0.1059531	-0.002439423	-0.1171756	-0.1058605	-0.007912916	0.002085057	0.006225258	0.003351893	
GA000557	GA000557	0.09307137	0.1257885	0.0915124	0.002722787	-0.1146412	-0.1143182	-0.01365215	0.002614505	0.01149337	-0.0004722599	
GA000560	GA000560	0.09770819	0.1363798	0.09412339	0.002996826	-0.1190019	-0.09705266	-0.01307025	0.004325266	0.004707902	-0.004196716	
GA000564	GA000564	0.09526369	0.1309396	0.1058074	-0.005230783	-0.1208557	-0.1133537	-0.01451532	-0.001465924	0.00591722	-0.007419698	
GA000632	GA000632	-0.06236264	-0.05702979	0.08438843	-0.250547	-0.00287889	0.003928323	-0.00384595	0.0008755606	0.004364924	0.02193137	
GA000633	GA000633	-0.07069417	-0.05852599	0.08628734	-0.2485891	0.003353216	0.0008032208	0.002475825	-0.008456153	0.01161593	0.02423715	
GA000634	GA000634	-0.07644267	-0.07926959	0.09166571	-0.260973	0.01774236	-0.01373456	0.004134368	0.04356115	0.04447716	0.3713388	
GA000635	GA000635	-0.08436748	-0.08994551	0.09417442	-0.2505906	0.01959316	0.004791609	-0.008252709	0.8343459	-0.02095309	-0.1235988	
GA000636	GA000636	-0.07940745	-0.08042591	0.09273628	-0.2597786	0.01437038	-0.01393292	0.007041223	0.03289425	0.04276145	0.3151216	
GA000637	GA000637	-0.07856383	-0.09319189	0.09024995	-0.2503041	0.01542569	-0.00352546	-0.004575496	0.825382	-0.02064108	-0.1233827	
GA000638	GA000638	-0.07994157	-0.08913082	0.09401109	-0.2525633	0.01150159	-0.007240066	-0.00284244	0.8223167	-0.01901042	-0.1180531	
GA000639	GA000639	-0.08018376	-0.09476557	0.09258289	-0.2505345	0.02088004	-0.004641665	-0.004268014	0.8456059	-0.02158914	-0.1241547	
GA000640	GA000640	-0.07796376	-0.08198187	0.09113279	-0.2512644	0.01171375	-0.003553905	0.00233011	0.01251005	0.01830816	0.1753225	
GA000641	GA000641	-0.07733094	-0.08074089	0.09076596	-0.2740626	0.01577507	-0.01842092	0.004432452	0.04634175	0.05324347	0.370854	
GA000642	GA000642	-0.07769832	-0.07759501	0.08775256	-0.2603763	0.0126548	-0.007613267	-0.001612495	0.0355418	0.035864	0.2983335	
GA000814	GA000814	-0.07472882	-0.09272221	0.09195687	-0.2245864	0.01077545	-0.002692196	0.003404872	-0.02104397	-0.0007319989	-0.0138517	
GA000931	GA000931	-0.03739988	-0.01911801	0.09222042	-0.256393	-0.01604983	-0.0012259	0.003879569	-0.01702608	-0.002233161	0.01584775	
GA001074	GA001074	-0.05692269	-0.05155164	0.1001934	-0.2699243	-0.006120534	-0.004137587	0.005130138	-0.02683941	0.009303485	0.04269556	
GA001075	GA001075	-0.06495186	-0.05172743	0.08929458	-0.2658147	0.006596333	0.001697958	-0.0009555417	-0.01848078	0.008691322	0.03477931	
GA001076	GA001076	-0.06145297	-0.0454695	0.09166041	-0.2695247	0.0006769199	-0.0112255	-0.002951245	-0.02181468	0.0112899	0.04669974	
GA001077	GA001077	-0.06092161	-0.04157961	0.09623162	-0.2635409	0.009033424	-0.004755269	0.01158559	-0.03092761	0.01577769	0.04394173	
GA001078	GA001078	-0.06280322	-0.05025266	0.09306135	-0.2628524	0.01120723	-0.007609526	0.005806662	-0.02625776	0.007765943	0.04274697	
GA001079	GA001079	-0.05867379	-0.04650927	0.09388838	-0.2735158	-0.003597465	-0.003924751	0.0101021	-0.02091374	0.01820458	0.03923034	
GA001080	GA001080	-0.05762682	-0.05254755	0.09766275	-0.2762011	0.002939714	0.002284849	-0.0008802057	-0.0208423	0.01197153	0.04476067	
GA001081	GA001081	-0.06162108	-0.04827619	0.08960225	-0.261959	0.000631943	-0.004963153	0.007570939	-0.02194995	0.007837005	0.0441402	
GA001107	GA001107	-0.07490901	-0.076039	0.09009048	-0.2638209	0.003484142	-0.008288407	-0.008808408	-0.01394139	0.02221174	0.1901286	
GA001108	GA001108	-0.07870344	-0.08039555	0.09776701	-0.2569007	0.006401024	-0.001071039	-0.0115812	-0.02279963	0.01847086	0.192399	
GA001109	GA001109	-0.07021168	-0.08112556	0.09389333	-0.2584947	0.007399478	-0.004222144	-0.009310525	-0.01081719	0.02813962	0.2092986	
GA001110	GA001110	-0.0727995	-0.07942175	0.09611149	-0.2570575	0.001401727	-0.01011194	5.026167e-06	-0.01794216	0.03323306	0.2089556	
GA001166	GA001166	-0.08625348	-0.09501715	0.09444917	-0.2284061	0.009720438	-0.0075909	0.004600584	-0.0129886	-0.001685609	0.08168615	
GA001172	GA001172	-0.08731401	-0.09346975	0.09232807	-0.2220454	0.008168187	-0.003439492	-0.003164273	0.005179296	0.007331901	0.07511573	
GA001179	GA001179	-0.06918867	-0.06752711	0.08803754	-0.2430987	0.0002610906	-0.002981247	0.001266379	-0.0115347	0.00368711	-0.003194606	
GA001184	GA001184	-0.08086575	-0.08071478	0.09785058	-0.2569683	0.010255	-0.006624878	-0.008596912	-0.01364438	0.02615511	0.2065003	
GA001186	GA001186	-0.07393341	-0.08120779	0.09961784	-0.2626016	0.00459563	-0.01055695	-0.0131438	-0.007922108	0.02789834	0.2071812	
GA001187	GA001187	-0.07470689	-0.07799589	0.09078113	-0.2634756	0.008585835	-0.002665838	-0.005671146	-0.01723897	0.01951299	0.2102461	
GA001195	GA001195	-0.07300448	-0.07702591	0.08846765	-0.2413247	0.006333027	-0.01050423	-0.007155765	-0.01161697	0.001184516	0.003208474	
GA001197	GA001197	-0.07134749	-0.07811368	0.08714334	-0.2341904	-0.001294215	-0.001625731	0.007799975	-0.01734356	0.006259963	-0.0005759033	
GA001199	GA001199	-0.07881372	-0.07317091	0.08729667	-0.2336126	0.007036255	0.005007039	-0.006574201	-0.007946667	0.001919917	0.01156439	
GA001205	GA001205	-0.07247214	-0.07883829	0.08980661	-0.2410913	0.008694603	0.0008801247	0.0002021366	-0.01859505	0.003306171	-0.0002302021	
GA001207	GA001207	-0.07374944	-0.08420711	0.0987428	-0.2640717	0.006962579	-0.003568481	-0.01940392	-0.01438124	0.0211892	0.1975036	
GA001211	GA001211	-0.07152529	-0.07726269	0.09085461	-0.2354529	0.001570128	0.002615497	-0.003212053	-0.01950525	-0.001237883	0.003739902	
GA001214	GA001214	-0.07115126	-0.07049939	0.08596735	-0.2483141	0.008899257	-0.002055069	-0.007754856	-0.02038897	-0.0003633306	0.009354449	
GA001215	GA001215	-0.06759113	-0.06376152	0.08958784	-0.2579	0.007709551	0.007537555	0.005963713	-0.01533964	-0.001855148	0.02112664	
GA001232	GA001232	-0.06557874	-0.05966217	0.09354325	-0.2640826	0.01188566	-0.006138754	0.005644718	-0.009370082	0.001570529	0.01902525	
GA001234	GA001234	-0.07816572	-0.07118596	0.08770337	-0.2491237	0.001346426	-0.004318953	0.003117408	-0.003747121	-0.0006270165	0.009543097	
GA001244	GA001244	-0.07898043	-0.08943448	0.08890674	-0.2303234	0.007031976	0.004171959	0.002588431	-9.837006e-05	0.004749867	0.01374667	
GA001246	GA001246	-0.07793607	-0.07585118	0.0907554	-0.2400071	0.007448491	0.0008458316	-0.002526054	-0.02093417	-0.00780617	-0.001014799	
GA001264	GA001264	-0.0713485	-0.06565417	0.08827165	-0.2565164	-0.0006095824	-0.001981655	-0.00138831	-0.009811822	-8.427847e-05	0.0168168	
GA001272	GA001272	-0.07776121	-0.0777391	0.08978091	-0.2372611	0.01304583	0.006217795	-0.005075237	-0.01208269	0.007341094	0.01089288	
GA001276	GA001276	-0.07051702	-0.06093462	0.08410549	-0.2595985	0.01164827	-0.00106254	-0.002158831	-0.009212259	0.0107661	0.01459228	
GA001277	GA001277	-0.06735559	-0.06212006	0.08947927	-0.257984	0.008914808	0.009751232	-0.002750788	-0.01405759	0.009564228	0.01904032	
GA001282	GA001282	-0.07867339	-0.08337979	0.09215542	-0.2436435	0.003558033	0.003166875	-0.008461073	-0.005241874	0.006491976	0.01066394	
GA001284	GA001284	-0.07487346	-0.08535025	0.09125025	-0.2352788	0.01159618	0.009662552	0.002184443	0.002467611	5.367845e-05	-0.0008853922	
GA001285	GA001285	-0.07871229	-0.08073876	0.08976095	-0.2274694	0.01107444	0.004407804	-0.0083857	-0.008355926	0.01161506	0.008495006	
GA001286	GA001286	-0.08299767	-0.09177332	0.09095567	-0.2267322	0.01438861	0.006199241	0.00460817	-0.01255835	-0.002590576	0.008017247	
GA001287	GA001287	-0.07603306	-0.07902765	0.08609475	-0.2396628	0.0167253	-0.003496699	0.004500862	-0.01281164	0.009865073	0.01345804	
GA001296	GA001296	-0.08188003	-0.09445111	0.09664213	-0.2300673	0.009858517	-0.004206557	-0.005055515	0.001402246	0.0009071535	0.01309011	
GA001298	GA001298	-0.08171637	-0.07933286	0.09348269	-0.2370138	0.008217198	0.0027791	-0.01647718	-0.00791827	-9.241869e-05	0.02184358	
GA001308	GA001308	-0.06968541	-0.07351505	0.08650472	-0.2463285	0.008210819	0.001789206	-0.01095586	-0.008035061	0.008323787	0.01449757	
GA001313	GA001313	-0.0826129	-0.09071311	0.08961105	-0.2375181	0.01353011	0.000459751	0.01036342	-0.01206456	0.001508775	0.01436687	
GA001319	GA001319	-0.07437727	-0.07452615	0.09019659	-0.253259	0.01088655	-0.002028608	0.00450451	-0.0002139204	0.001082009	0.02093582	
GA001326	GA001326	-0.1305179	-0.2326262	0.1120649	0.09482709	-0.002930823	-0.01206066	0.01285868	-0.007770932	-0.00291432	0.0002646066	
GA001328	GA001328	-0.1315915	-0.2336056	0.1118358	0.08458015	0.004334295	0.0005162549	0.008995878	-0.000224486	0.0007050762	0.00150613	
GA001329	GA001329	-0.1239268	-0.2326817	0.1122839	0.08726062	-0.01320794	-0.009775703	0.001986323	0.01077942	-0.006993889	-7.813189e-05	
GA001332	GA001332	-0.1263824	-0.2360134	0.1093975	0.08871538	-0.005696767	0.002615749	0.001709714	0.01122057	0.01752758	-0.005530345	
GA001333	GA001333	-0.1314567	-0.2377867	0.1196027	0.09643931	0.001719653	-0.0009700846	0.001386641	-0.01264381	0.01171432	-0.0004782241	
GA001335	GA001335	-0.1308312	-0.2360076	0.1081056	0.09783472	-0.001950684	-0.0121279	-0.002095734	-0.009851539	0.002247901	-0.03186005	
GA001336	GA001336	-0.1321739	-0.2329797	0.1122319	0.08838868	0.004721463	-0.0005064078	-0.0003166321	-0.01641575	-0.004839348	-0.02004928	
GA001340	GA001340	-0.1368687	-0.2287278	0.1183522	0.09372272	0.002400331	-0.008103901	0.01510108	-0.01109782	-0.01717848	-0.009432122	
GA001341	GA001341	-0.1290773	-0.232348	0.115473	0.08750601	0.003173854	0.002788575	0.005256316	-0.01968978	-0.01126352	-0.004586153	
GA001342	GA001342	-0.1293994	-0.2334484	0.110555	0.0852211	-0.003943633	-0.0139085	0.004560637	-0.009841376	0.03007272	-0.02271422	
GA001343	GA001343	-0.1324011	-0.2335961	0.1080755	0.0841045	-0.004213205	-0.003626126	0.008117421	0.003030193	-0.008381602	0.002962311	
GA001344	GA001344	-0.128919	-0.2366754	0.1105718	0.08526796	-0.008646842	-0.005986087	0.006579676	-0.008099991	-0.01361279	-0.01082136	
GA001345	GA001345	-0.1318295	-0.2379332	0.1110485	0.09244266	-0.001849788	-0.008015711	1.765846e-05	-0.01150718	-0.00251306	-0.009861261	
GA001346	GA001346	-0.1285761	-0.2357612	0.118935	0.100089	-0.01275062	0.009798754	0.0007663685	0.006301579	0.01981687	-0.01180409	
GA001348	GA001348	0.1110725	0.1452682	0.1066728	0.02484889	-0.1411905	0.06655939	0.002757359	-0.001715209	-0.02415709	0.02106927	
GA001349	GA001349	0.1126912	0.1419635	0.1067581	0.02301092	-0.1375574	0.05564918	0.01668653	0.008039698	0.003540396	0.009467675	
GA001350	GA001350	0.11896	0.1506769	0.1052638	0.02470425	-0.1510396	0.06997324	0.006582592	-0.008260733	0.02540914	0.0134156	
GA001351	GA001351	0.1134015	0.1480551	0.1075322	0.01566911	-0.1365967	0.06197838	0.01162418	-0.008067683	0.01905619	-0.01683061	
GA001352	GA001352	0.1165395	0.1469669	0.1075607	0.02394138	-0.1346483	0.02323115	-0.0008932112	0.008212456	0.002569243	0.00141287	
GA001354	GA001354	0.109148	0.1535725	0.1030719	0.01814902	-0.14222	0.0585133	0.01693856	-0.005313385	0.0004899406	0.005850697	
GA001355	GA001355	0.1109963	0.1506719	0.1100007	0.02141118	-0.1384374	0.05961633	0.006520847	-0.004213655	0.01240144	0.004442205	
GA001356	GA001356	0.113829	0.1428246	0.09930374	0.017319	-0.1135741	0.04441317	0.01524322	-0.002138078	-0.01387186	0.01044001	
GA001357	GA001357	0.1177676	0.1485782	0.1015471	0.01390898	-0.1162792	0.0434416	0.008875491	-0.002545859	0.004617303	-0.01003345	
GA001361	GA001361	0.1155466	0.1519367	0.1083425	0.01856939	-0.1408196	0.05100158	0.01450808	0.009132148	0.01069875	0.02190606	
GA001362	GA001362	0.1145283	0.1511427	0.1070488	0.01766968	-0.1470816	0.05888178	0.007655176	0.00325198	0.01448624	0.01884956	
GA001364	GA001364	0.1186659	0.1573807	0.1052859	0.02400722	-0.1394282	0.04382035	-0.001630368	-0.005531782	0.004822375	0.003133965	
GA001365	GA001365	0.1127376	0.1458202	0.1052819	0.01404994	-0.1276291	0.05527999	0.01589189	-0.009607395	0.01414695	0.004486558	
GA001366	GA001366	0.1175931	0.1485217	0.1040106	0.01888038	-0.1395492	0.03765378	0.01166479	-0.01061089	-0.002298991	-0.0001019625	
GA001367	GA001367	0.1135568	0.1464554	0.1078665	0.01211544	-0.1549031	0.03480278	0.008212418	0.0160639	-0.005106666	0.004755288	
GA001368	GA001368	0.1228948	0.1412932	0.0975314	0.02660347	-0.0304704	0.0292732	-0.006816427	-0.005405552	0.003343064	-0.01697945	
GA001369	GA001369	0.1231405	0.1515551	0.1084902	0.01256319	-0.1391124	0.04278366	-0.004471468	0.007340396	-0.008400437	0.01618875	
GA001370	GA001370	0.1153718	0.1505936	0.1051377	0.022621	-0.1265038	0.05180565	0.005623342	-0.003038279	0.01071906	0.008701875	
GA001371	GA001371	0.1077452	0.1495006	0.1061836	0.01352833	-0.1468608	0.04894665	0.006500074	0.006678195	0.02708237	0.0007208224	
GA001372	GA001372	0.107818	0.1412064	0.1025165	0.005886177	-0.1142004	0.04764881	-0.007327772	-0.01338105	0.0009351416	0.01766703	
GA001373	GA001373	0.1173467	0.1469655	0.104891	0.01808498	-0.1126576	0.03881291	0.006999043	0.005349882	0.002788981	0.01653634	
GA001374	GA001374	0.1084181	0.1470275	0.1044625	0.009748501	-0.1100063	0.0410663	-0.002426362	0.005655076	0.008360704	-0.006594537	
GA001375	GA001375	0.112658	0.1455588	0.1042821	0.0153876	-0.1162323	0.04665892	0.006975474	0.003813021	-0.006642257	0.02095686	
GA001376	GA001376	0.1162167	0.1426443	0.1047803	0.009175816	-0.1250779	0.04757896	0.004170641	-0.01041559	0.01548698	0.004733452	
GA001377	GA001377	0.1080286	0.1504881	0.1080825	0.02032546	-0.1161833	0.05453387	-0.003710619	0.01425585	0.001233116	-0.004203759	
GA001378	GA001378	0.1159399	0.144225	0.1051751	0.009128509	-0.1184254	0.0413811	0.005846165	-0.009033448	-0.006883082	-0.005469213	
GA001379	GA001379	0.1138058	0.1484726	0.1005396	0.01919678	-0.06924162	0.02864419	0.004365804	-0.00365551	-0.01410693	-0.001781642	
GA001380	GA001380	0.1148185	0.1436883	0.1014361	0.01305959	-0.1220054	0.03046865	0.002856727	0.00784576	-0.003521335	-0.004516373	
GA001381	GA001381	0.1139184	0.1456279	0.1073149	0.00854243	-0.1182997	0.04373578	0.01804482	0.0002867002	0.007539133	0.001568425	
GA001382	GA001382	0.1110794	0.1389324	0.1062048	0.01145474	-0.1127034	0.03164212	0.0108154	-0.003211	0.02429124	0.008269859	
GA001383	GA001383	0.1077998	0.144037	0.1063556	0.01330802	-0.1144971	0.0408552	0.0198925	0.005436605	-0.01491547	0.01660771	
GA001384	GA001384	0.1126275	0.1503995	0.1026079	0.02199636	-0.05813723	0.02405923	0.004519976	-0.004192628	0.009738053	0.0004335314	
GA001385	GA001385	0.1118413	0.1444859	0.1011494	0.01692653	-0.1153533	0.04199686	-0.004503569	0.006523292	0.01270692	0.003654454	
GA001386	GA001386	0.1098697	0.141864	0.1044637	0.01286487	-0.1093442	0.05448709	0.009294178	0.002951403	0.0189249	0.001984588	
GA001387	GA001387	0.1150122	0.1416379	0.1020456	0.007115841	-0.1148666	0.03246689	-0.0050908	0.004930781	0.01233623	0.007531328	
GA001389	GA001389	0.1078158	0.1457188	0.1047501	0.01243299	-0.1273297	0.03697858	0.000552675	0.01553889	0.003740956	0.002148666	
GA001390	GA001390	0.1132139	0.1464884	0.1018636	0.02102036	-0.1123661	0.04356246	-0.005362816	0.01270625	-0.004228345	-0.01363268	
GA001391	GA001391	0.1049504	0.1400248	0.1038698	0.004660998	-0.1159879	0.03655328	0.003487222	0.01341723	0.006354604	0.03527155	
GA001392	GA001392	0.1122838	0.1477301	0.1055369	0.01496073	-0.1145462	0.03664698	0.004924777	-0.00595101	-0.02168996	0.006216938	
GA001393	GA001393	0.1153275	0.1457854	0.1048077	0.008731959	-0.1080547	0.0379017	0.004678919	-0.00707899	-0.006170842	0.004965936	
GA001394	GA001394	0.1135876	0.1456971	0.1073549	0.02174126	-0.1284788	0.04194652	0.008093154	0.01566802	0.02300624	0.01116269	
GA001395	GA001395	0.1153226	0.1406028	0.1001888	0.01320832	-0.1058098	0.02775025	0.009021503	0.0008348105	0.00327028	0.0163574	
GA001396	GA001396	0.1087479	0.145438	0.1035766	0.007472899	-0.1112659	0.04083379	0.00017242	0.009585576	0.01105518	0.008881791	
