FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	Super_Pop
GA000632	GA000632	-0.01488298	0.00193465	-0.1910618	-0.1695549	0.05110195	0.0001300532	0.1367866	0.005912119	-0.007737974	-0.002578672	SAS
GA000633	GA000633	-0.01984506	0.01025813	-0.1970355	-0.1727242	0.05228595	-0.00711413	0.1350232	0.002334796	-0.0004985841	-0.007045678	SAS
GA000634	GA000634	-0.01784812	0.04011011	-0.1794918	-0.1745838	0.04739874	0.01363697	0.1418641	0.01433347	0.0168176	-0.003735082	SAS
GA000635	GA000635	-0.02076463	0.04817733	-0.1766652	-0.1782757	0.0545095	0.0205499	0.1369729	0.01485587	0.01933669	-0.01289805	SAS
GA000636	GA000636	-0.01630672	0.04051987	-0.1839789	-0.1785956	0.04917966	0.01094776	0.1418376	0.01754472	0.01170617	-0.000706153	SAS
GA000637	GA000637	-0.01550878	0.04876257	-0.1676296	-0.1728329	0.05551546	0.02159142	0.1371882	0.01638337	0.0217727	-0.01312249	SAS
GA000638	GA000638	-0.01653818	0.04697882	-0.1745283	-0.1783442	0.05135356	0.01800217	0.1361075	0.01587409	0.01664951	-0.006959743	SAS
GA000639	GA000639	-0.0135549	0.04837226	-0.1713101	-0.1808065	0.04942687	0.02025599	0.1403621	0.01838592	0.02058567	-0.01347684	SAS
GA000640	GA000640	-0.01648119	0.04011612	-0.1830474	-0.1744481	0.05206552	0.008974245	0.1370345	0.01473408	0.01074943	-0.002516357	SAS
GA000641	GA000641	-0.01882193	0.04166745	-0.1800007	-0.1823827	0.0526525	0.01037292	0.145939	0.01538061	0.01184956	-0.005890811	SAS
GA000642	GA000642	-0.0197951	0.03695117	-0.1769965	-0.1769495	0.04803259	0.007286179	0.1340486	0.01245575	0.01170589	-0.004681643	SAS
GA000814	GA000814	-0.01339767	0.04932002	-0.1694335	-0.1742811	0.03915561	0.01925355	0.1249516	0.01764021	0.01679817	-0.001936001	SAS
GA000931	GA000931	-0.006304416	-0.04830276	-0.2322542	-0.1613639	0.04651945	-0.02193137	0.14005	-0.002282461	-0.02155695	-0.005282524	SAS
GA001074	GA001074	-0.00985386	-0.003133725	-0.2136123	-0.1771646	0.05077432	0.002943294	0.1517291	0.003187587	-0.004279382	-0.00265597	SAS
GA001075	GA001075	-0.01540147	0.0009443828	-0.2014099	-0.1804675	0.05555066	0.001646097	0.1480338	0.002849485	-0.002405726	-0.007636647	SAS
GA001076	GA001076	-0.01174801	-0.003259719	-0.2057088	-0.1689485	0.05085487	-0.006824611	0.1510361	0.005251565	-0.007975133	-0.008813421	SAS
GA001077	GA001077	-0.01865369	-0.007432658	-0.2099613	-0.172085	0.05542252	-0.003319439	0.1488316	0.007805731	-0.008403376	-0.006318697	SAS
GA001078	GA001078	-0.01769241	-0.0009144073	-0.2066674	-0.1736814	0.05580945	-0.005669613	0.139523	0.007637128	0.000421523	-0.007748216	SAS
GA001079	GA001079	-0.01008909	-0.003349852	-0.2089367	-0.1787299	0.05356573	-0.005750046	0.151471	0.007810761	-0.005742464	-0.01229704	SAS
GA001080	GA001080	-0.009998991	-0.0002107538	-0.2076939	-0.1775216	0.05362335	-0.002052728	0.155773	-0.0005489113	-0.004698626	-0.004470268	SAS
GA001081	GA001081	-0.01198855	-0.00260055	-0.2039135	-0.1739636	0.05206685	-0.005985342	0.1443281	0.005408234	-0.007240706	-0.006401548	SAS
GA001107	GA001107	-0.01041235	0.03926086	-0.1787334	-0.1746439	0.0549312	0.008643572	0.1444308	0.009935374	0.01344947	-0.004465799	SAS
GA001108	GA001108	-0.02060681	0.04492686	-0.1737799	-0.1839522	0.05212065	0.01420905	0.1438873	0.02202598	0.01257836	-0.006734927	SAS
GA001109	GA001109	-0.01253625	0.04370199	-0.1839252	-0.1780021	0.05117031	0.01034442	0.1422928	0.016725	0.02095133	-0.003638501	SAS
GA001110	GA001110	-0.01407207	0.04290666	-0.1785251	-0.1794621	0.05483037	0.01089864	0.1442219	0.01433882	0.01071768	0.002498896	SAS
GA001166	GA001166	-0.02289024	0.06485164	-0.1681193	-0.1790697	0.04751029	0.01925558	0.1345584	0.01958859	0.02618423	-0.0115966	SAS
GA001172	GA001172	-0.01964112	0.06294019	-0.1615631	-0.1801183	0.04948977	0.02152543	0.1338846	0.01960414	0.02299758	-0.0141904	SAS
GA001179	GA001179	-0.009458432	0.0238492	-0.1912989	-0.1755521	0.04843235	0.00347061	0.1324989	0.006373855	0.01306248	-0.009205935	SAS
GA001184	GA001184	-0.01547151	0.04036756	-0.1781466	-0.180342	0.05114964	0.01324802	0.1412937	0.01465003	0.007838675	-0.002466745	SAS
GA001186	GA001186	-0.01339871	0.04013899	-0.1830308	-0.1799946	0.05240253	0.01302731	0.1494957	0.009517941	0.01602291	-0.007084749	SAS
GA001187	GA001187	-0.01347757	0.03950877	-0.1806666	-0.1737331	0.04779399	0.009207142	0.1427613	0.01443102	0.01037769	-0.001998211	SAS
GA001195	GA001195	-0.01442453	0.0327034	-0.1798681	-0.1775406	0.04387539	0.006124562	0.1344859	0.009540746	0.007330846	-0.006678881	SAS
GA001197	GA001197	-0.01042365	0.03292691	-0.1835839	-0.173852	0.04390561	0.01251483	0.1308575	0.01682122	0.01455607	-0.01191064	SAS
GA001199	GA001199	-0.01677572	0.02582226	-0.1860492	-0.1740167	0.04788793	0.004112236	0.1327352	0.00842723	0.01040264	-0.003265322	SAS
GA001205	GA001205	-0.006700089	0.02825727	-0.1882706	-0.1795743	0.04701669	0.01096392	0.1379427	0.01342143	0.007121388	-0.006870118	SAS
GA001207	GA001207	-0.01027987	0.03949928	-0.1823461	-0.1853494	0.0511905	0.0147443	0.1382031	0.01638551	0.008164804	-0.002954445	SAS
GA001211	GA001211	-0.0146202	0.03346702	-0.186419	-0.1759085	0.04894682	0.009954012	0.1355496	0.01487674	0.01116859	-0.005070928	SAS
GA001214	GA001214	-0.01615616	0.02660858	-0.1880954	-0.1834758	0.04775457	0.002576289	0.135631	0.01004265	0.006268809	-0.005939512	SAS
GA001215	GA001215	-0.01052769	0.01372705	-0.1961442	-0.1830223	0.04646879	-0.003144947	0.1381019	0.005352806	-0.002461705	-0.004670885	SAS
GA001232	GA001232	-0.008679353	0.008545753	-0.1986676	-0.1835608	0.04794959	-0.003295718	0.1488414	0.01263168	0.003917065	-0.007832973	SAS
GA001234	GA001234	-0.01776167	0.03119188	-0.186878	-0.1787649	0.05382631	0.002816067	0.1378056	0.004892189	0.004325944	-0.008890831	SAS
GA001244	GA001244	-0.01181705	0.04965642	-0.1713478	-0.1730257	0.04833676	0.01853686	0.1279802	0.02007112	0.01191039	-0.0007756012	SAS
GA001246	GA001246	-0.01976775	0.03522428	-0.1829397	-0.1797162	0.05164801	0.008870965	0.1371889	0.01635289	0.01317436	-0.002214222	SAS
GA001264	GA001264	-0.01100093	0.01558926	-0.1961982	-0.1788006	0.04580722	-0.003899929	0.148409	0.01315574	0.002143246	-0.006525459	SAS
GA001272	GA001272	-0.01388229	0.03515813	-0.1856749	-0.1809594	0.04842608	0.01237807	0.1349368	0.01639233	0.009415353	-0.005763632	SAS
GA001276	GA001276	-0.01576086	0.01456124	-0.1923285	-0.1845736	0.04869917	-0.00603091	0.1474393	0.008295146	0.003974626	-0.00639434	SAS
GA001277	GA001277	-0.01491393	0.01514338	-0.1919223	-0.1859686	0.04788617	-0.0005531371	0.140291	0.009202164	0.004658258	-0.01190005	SAS
GA001282	GA001282	-0.01165038	0.03828529	-0.1788986	-0.1819296	0.04661679	0.01490922	0.1332711	0.0132877	0.007010192	-0.006665087	SAS
GA001284	GA001284	-0.008667501	0.04064466	-0.1784837	-0.1695614	0.04685132	0.004839153	0.1308245	0.01539843	0.01144483	-0.003475781	SAS
GA001285	GA001285	-0.02037331	0.04225652	-0.1769747	-0.1731813	0.04864804	0.01562856	0.1301952	0.01498534	0.01273105	0.00235243	SAS
GA001286	GA001286	-0.01991001	0.04846614	-0.1721555	-0.1706334	0.04510952	0.01709747	0.1334375	0.01110809	0.01773327	-0.004225829	SAS
GA001287	GA001287	-0.01449787	0.03226131	-0.1813717	-0.1724354	0.04822439	0.007330548	0.1333381	0.006613682	0.01217937	-0.002585882	SAS
GA001296	GA001296	-0.01508582	0.05511443	-0.1721112	-0.1761215	0.05044714	0.02092434	0.126386	0.0205651	0.0149301	-0.005780078	SAS
GA001298	GA001298	-0.01559799	0.03508504	-0.17765	-0.1776661	0.04839468	0.0118428	0.1311882	0.01043324	0.01826032	-0.002601174	SAS
GA001308	GA001308	-0.01376121	0.02784957	-0.1808595	-0.1767668	0.04618894	0.01227313	0.1342321	0.0148675	0.01703878	-0.005475599	SAS
GA001313	GA001313	-0.01581427	0.04578293	-0.1694798	-0.1766914	0.05000527	0.01575781	0.1317869	0.01123382	0.01027889	-0.005139202	SAS
GA001319	GA001319	-0.0149568	0.02710419	-0.183801	-0.1804387	0.05023201	0.00968893	0.1385103	0.01483669	0.008238333	-0.002554497	SAS
GA001326	GA001326	-0.00482227	0.2409151	-0.03596162	-0.05562691	0.03049328	0.1958855	-0.04903567	0.02259992	0.02469762	-0.01176618	EUR
GA001328	GA001328	-0.003386846	0.2442312	-0.0324888	-0.05560099	0.02854825	0.1881052	-0.04769514	0.02210179	0.01971962	-0.004721564	EUR
GA001329	GA001329	0.002511691	0.239563	-0.03179263	-0.05626918	0.02976463	0.1943872	-0.04281897	0.02254555	0.01733404	-0.00294234	EUR
GA001332	GA001332	0.0007531768	0.2469004	-0.03669015	-0.05703477	0.02692915	0.1913389	-0.04507762	0.02947757	0.02159222	-0.007546546	EUR
GA001333	GA001333	0.0007586803	0.2482392	-0.03634129	-0.05084412	0.0304469	0.1975905	-0.05019824	0.02458395	0.02068902	-0.002584021	EUR
GA001335	GA001335	9.557771e-05	0.2464447	-0.03686142	-0.05213884	0.02617664	0.1974009	-0.04916609	0.02443656	0.0234915	-0.0009698073	EUR
GA001336	GA001336	-0.003125862	0.2406213	-0.03677693	-0.05867766	0.03313875	0.1920817	-0.04876076	0.02698483	0.02114236	0.001252947	EUR
GA001340	GA001340	-0.00876673	0.2453512	-0.03356171	-0.05163719	0.03547637	0.1954134	-0.04597767	0.02465881	0.01779623	0.002887434	EUR
GA001341	GA001341	-0.004170635	0.2474613	-0.03818615	-0.054075	0.03045326	0.1955595	-0.04354768	0.03141469	0.01750792	-0.005456867	EUR
GA001342	GA001342	-0.006403561	0.2440612	-0.03500105	-0.0527274	0.02723644	0.1943912	-0.04404323	0.02336479	0.01348298	-0.0002668247	EUR
GA001343	GA001343	-0.004082724	0.2464186	-0.034057	-0.05562233	0.02932241	0.1873712	-0.04801751	0.0263986	0.01594492	-0.003671992	EUR
GA001344	GA001344	0.00173455	0.2388354	-0.03338794	-0.05487643	0.03472394	0.1902729	-0.04842123	0.02262744	0.01219742	-0.006401892	EUR
GA001345	GA001345	-0.002054139	0.247096	-0.03496573	-0.04771242	0.03459962	0.197818	-0.04375576	0.02579777	0.0135572	-0.007603901	EUR
GA001346	GA001346	0.00247522	0.2492771	-0.03700086	-0.04873155	0.03422969	0.1971937	-0.04622258	0.02105694	0.0166366	-0.001959078	EUR
GA001348	GA001348	0.08338538	-0.2552705	-0.3211704	0.1563694	0.02602193	0.008719029	0.03759412	0.005488001	-0.0407013	0.004248446	EAS
GA001349	GA001349	0.08852931	-0.2564471	-0.3217678	0.1582488	0.02414221	0.006319911	0.03559845	0.007737892	-0.04035689	0.003747152	EAS
GA001350	GA001350	0.08405159	-0.2606721	-0.326153	0.1608109	0.02084059	0.003405415	0.03343737	0.006835379	-0.04552694	0.008869982	EAS
GA001351	GA001351	0.086577	-0.2591198	-0.3255576	0.1477713	0.0225939	0.006178841	0.03473291	0.004933696	-0.04078416	0.007169748	EAS
GA001352	GA001352	0.08489009	-0.2595811	-0.3210494	0.1561306	0.02146922	0.0064418	0.03520484	-0.003052875	-0.04196191	0.01158131	EAS
GA001354	GA001354	0.08202716	-0.2646236	-0.3272008	0.1577628	0.02367707	0.005639132	0.03048704	0.00515649	-0.04301439	0.005383316	EAS
GA001355	GA001355	0.0848624	-0.2649366	-0.3290273	0.1596264	0.02064037	0.00326496	0.03795247	0.001649532	-0.04040915	0.007549212	EAS
GA001356	GA001356	0.084261	-0.2578588	-0.3176505	0.1473374	0.02195999	0.002503594	0.03415756	0.006578139	-0.03315387	-0.001141902	EAS
GA001357	GA001357	0.08627807	-0.2644615	-0.3233046	0.1556335	0.01904868	0.009754921	0.03787994	0.00586419	-0.04064238	0.004379897	EAS
GA001361	GA001361	0.08125559	-0.2630508	-0.330874	0.1550903	0.0251448	0.008905826	0.04240747	0.008407479	-0.04043463	0.01019379	EAS
GA001362	GA001362	0.08495263	-0.2578017	-0.3182133	0.1561314	0.01963972	0.004685591	0.03636413	0.005619463	-0.03835469	0.004046884	EAS
GA001364	GA001364	0.08737617	-0.2715897	-0.328966	0.1647068	0.01900429	0.01182087	0.03839682	0.005406016	-0.04421758	0.006869197	EAS
GA001365	GA001365	0.08406359	-0.2590832	-0.325862	0.1515837	0.02260388	0.001014868	0.03946367	0.007421182	-0.04549724	0.004181175	EAS
GA001366	GA001366	0.08390603	-0.2576353	-0.3282871	0.1527138	0.02147728	0.002203451	0.04008009	0.001961736	-0.04480534	0.005773725	EAS
GA001367	GA001367	0.08939592	-0.2603258	-0.3279011	0.1529838	0.01859618	0.01018235	0.03860959	0.008498085	-0.04239282	0.005285673	EAS
GA001368	GA001368	0.09390395	-0.2617837	-0.3145365	0.1565476	0.01517779	0.003314786	0.02894766	0.004713641	-0.01296104	-0.001017036	EAS
GA001369	GA001369	0.09258834	-0.2643109	-0.3251117	0.1542824	0.0198468	0.006818477	0.04144014	0.006192648	-0.03531919	0.004636846	EAS
GA001370	GA001370	0.08270158	-0.2601429	-0.3229014	0.1627107	0.01852996	0.004768488	0.0350631	0.0006761024	-0.04341579	0.007764473	EAS
GA001371	GA001371	0.08056825	-0.2605183	-0.320246	0.1551532	0.02437105	0.007651503	0.03931536	0.006402429	-0.04533966	0.006224741	EAS
GA001372	GA001372	0.08598528	-0.2503318	-0.3128943	0.1389535	0.01710952	0.006650562	0.03337295	0.002289337	-0.03692082	0.001764402	EAS
GA001373	GA001373	0.08855985	-0.2549408	-0.3230469	0.1510208	0.02221743	0.01030909	0.03933704	0.007977998	-0.03711634	0.009433773	EAS
GA001374	GA001374	0.08085155	-0.2552603	-0.3235276	0.1477399	0.02577289	0.006090127	0.03680068	0.0009295842	-0.03543477	0.001010957	EAS
GA001375	GA001375	0.08808898	-0.2584485	-0.3229803	0.1489097	0.01829962	0.008374383	0.03694461	0.003757737	-0.03964792	0.006383645	EAS
GA001376	GA001376	0.09285009	-0.2548362	-0.3217956	0.1468633	0.01726714	0.001795534	0.04167723	0.01097219	-0.04002877	0.004895212	EAS
GA001377	GA001377	0.08179079	-0.2563635	-0.3255919	0.1552101	0.02299525	0.01014381	0.04095079	0.002865238	-0.03264419	0.008383921	EAS
GA001378	GA001378	0.08422873	-0.2540841	-0.3244991	0.1486213	0.01472904	0.005373325	0.0435003	-0.001141278	-0.04192799	0.00054539	EAS
GA001379	GA001379	0.08462386	-0.2593854	-0.3187317	0.154813	0.01680881	0.01014193	0.03576442	0.00725302	-0.01993084	0.008933946	EAS
GA001380	GA001380	0.08303845	-0.2543689	-0.3174016	0.144165	0.01918728	0.002250799	0.03960579	0.0004504381	-0.03688249	-0.003098074	EAS
GA001381	GA001381	0.08538135	-0.2517383	-0.3189226	0.1455797	0.02320128	0.008335959	0.03821504	0.00588228	-0.03081075	0.007150157	EAS
GA001382	GA001382	0.08757354	-0.2515695	-0.3192758	0.1408539	0.02018288	0.008839463	0.03669191	0.008754558	-0.03025021	0.003725475	EAS
GA001383	GA001383	0.0839658	-0.2537751	-0.321197	0.1461711	0.01882654	0.01078078	0.03802487	0.006790489	-0.03484519	0.00837385	EAS
GA001384	GA001384	0.08691835	-0.2593175	-0.3231191	0.1537815	0.02083016	0.00225669	0.03258971	0.01069927	-0.01800072	-0.0002772975	EAS
GA001385	GA001385	0.08793046	-0.2601784	-0.3182652	0.1531514	0.01755236	0.005254727	0.03606131	0.006246687	-0.03499765	0.002364732	EAS
GA001386	GA001386	0.08630116	-0.2523865	-0.3185847	0.1449955	0.01752272	0.007530993	0.03688116	0.008090973	-0.0358463	0.004057793	EAS
GA001387	GA001387	0.0894837	-0.2541268	-0.3178654	0.1412156	0.01814254	0.006154539	0.04108799	0.005881335	-0.03607689	0.002580585	EAS
GA001389	GA001389	0.07766659	-0.2571872	-0.3250803	0.1482229	0.02038229	0.003731937	0.04393779	0.005135105	-0.04154781	0.00529397	EAS
GA001390	GA001390	0.08490924	-0.2575447	-0.3197236	0.1534806	0.01892896	0.01026527	0.0395531	0.006354691	-0.04166191	0.003567761	EAS
GA001391	GA001391	0.07755394	-0.2488899	-0.3214893	0.1400067	0.02611854	0.003559377	0.04089762	0.006649002	-0.03272924	0.002442337	EAS
GA001392	GA001392	0.0874882	-0.2574034	-0.3245805	0.1522964	0.02091383	0.008898854	0.03923535	0.004084564	-0.03180897	0.003570539	EAS
